merged_id,linked_ced_merged_id,root_slug,cn-app-dictionary.csv_English Glosses Combined,cn-app-dictionary.csv_Grammar sub entry,cn-app-dictionary.csv_No.,cn-app-dictionary.csv_Part of speech,cn-app-dictionary.csv_Part of speech ch,cn-app-dictionary.csv_Practical,cn-app-dictionary.csv_Simple phonetics,cn-app-dictionary.csv_Syllabary,cn-app-dictionary.csv_Tone and length 1,cn-app-dictionary.csv_Tone and length 2,cn-app-dictionary.csv_Translations,cn-app-dictionary.csv_Variants,cn-app-dictionary.csv_Word audio,cn-app-dictionary.csv__Variants_Practical,cn-app-dictionary.csv__Variants_Syllabary,cn-app-dictionary.csv_source_No.,cn-app-dictionary.csv_﻿Entry No.,hierarchical-dict.json__is_transitive,hierarchical-dict.json_class_name,hierarchical-dict.json_config.pre.distributive,hierarchical-dict.json_config.pre.partitive,hierarchical-dict.json_config.pre.translocutive,hierarchical-dict.json_config.pre.translocutiveImpOnly,hierarchical-dict.json_config.pron.allow_h_metathesis,hierarchical-dict.json_config.pron.middle_voice,hierarchical-dict.json_config.pron.middle_voice_h_metathesis,hierarchical-dict.json_config.pron.plural_pronouns,hierarchical-dict.json_config.pron.set_type,hierarchical-dict.json_config.pron.stem_type,hierarchical-dict.json_config.pron.use_3rd_person_object,hierarchical-dict.json_config.pron.use_aki_for_1st_set_b,hierarchical-dict.json_config.pron.use_ka_variant,hierarchical-dict.json_config.pron.uwa_replaces_v,hierarchical-dict.json_corpus_id,hierarchical-dict.json_definition,hierarchical-dict.json_entry_no,hierarchical-dict.json_glottal_grade_root,hierarchical-dict.json_h_grade_root,hierarchical-dict.json_meta.corpus_id,hierarchical-dict.json_meta.definition,hierarchical-dict.json_meta.entry_no,hierarchical-dict.json_meta.prediction,hierarchical-dict.json_morphology.class_name,hierarchical-dict.json_morphology.config.pre.distributive,hierarchical-dict.json_morphology.config.pre.partitive,hierarchical-dict.json_morphology.config.pre.translocutive,hierarchical-dict.json_morphology.config.pre.translocutiveImpOnly,hierarchical-dict.json_morphology.config.pron.allow_h_metathesis,hierarchical-dict.json_morphology.config.pron.middle_voice,hierarchical-dict.json_morphology.config.pron.middle_voice_h_metathesis,hierarchical-dict.json_morphology.config.pron.plural_pronouns,hierarchical-dict.json_morphology.config.pron.set_type,hierarchical-dict.json_morphology.config.pron.stem_type,hierarchical-dict.json_morphology.config.pron.use_3rd_person_object,hierarchical-dict.json_morphology.config.pron.use_aki_for_1st_set_b,hierarchical-dict.json_morphology.config.pron.use_ka_variant,hierarchical-dict.json_morphology.config.pron.uwa_replaces_v,hierarchical-dict.json_morphology.glottal_grade_root,hierarchical-dict.json_morphology.h_grade_root,hierarchical-dict.json_morphology.post_root_morpheme,hierarchical-dict.json_post_root_morpheme,hierarchical-dict.json_practical,hierarchical-dict.json_prediction,hierarchical-dict.json_root_slug,hierarchical-dict.json_segmented_forms.present,hierarchical-dict.json_shim,hierarchical-dict.json_shim.meta.corpus_id,hierarchical-dict.json_shim.meta.definition,hierarchical-dict.json_shim.meta.entry_no,hierarchical-dict.json_shim.meta.prediction,hierarchical-dict.json_shim.morphology.class_name,hierarchical-dict.json_shim.morphology.config.pre.distributive,hierarchical-dict.json_shim.morphology.config.pre.partitive,hierarchical-dict.json_shim.morphology.config.pre.translocutive,hierarchical-dict.json_shim.morphology.config.pre.translocutiveImpOnly,hierarchical-dict.json_shim.morphology.config.pron.allow_h_metathesis,hierarchical-dict.json_shim.morphology.config.pron.middle_voice,hierarchical-dict.json_shim.morphology.config.pron.middle_voice_h_metathesis,hierarchical-dict.json_shim.morphology.config.pron.plural_pronouns,hierarchical-dict.json_shim.morphology.config.pron.set_type,hierarchical-dict.json_shim.morphology.config.pron.stem_type,hierarchical-dict.json_shim.morphology.config.pron.use_3rd_person_object,hierarchical-dict.json_shim.morphology.config.pron.use_aki_for_1st_set_b,hierarchical-dict.json_shim.morphology.config.pron.use_ka_variant,hierarchical-dict.json_shim.morphology.config.pron.uwa_replaces_v,hierarchical-dict.json_shim.morphology.glottal_grade_root,hierarchical-dict.json_shim.morphology.h_grade_root,hierarchical-dict.json_shim.morphology.post_root_morpheme,hierarchical-dict.json_shim.segmented_forms.imperative,hierarchical-dict.json_shim.segmented_forms.infinitive,hierarchical-dict.json_shim.shim,hierarchical-dict.json_slug,kirk-book-data.csv_Cherokee,kirk-book-data.csv_English,kirk-book-data.csv_Index,kirk-book-data.csv_Person,kirk-book-data.csv_Tense,kirk-book-data.csv_Tone,kirk-book-data.csv_Verb Number,kirk-book-data.csv_normalized_key,kirk-book-data.csv_screenshot name,learning-to-use-the-cherokee-verb.csv_CED English,learning-to-use-the-cherokee-verb.csv_Cherokee,learning-to-use-the-cherokee-verb.csv_Index,learning-to-use-the-cherokee-verb.csv_Set,learning-to-use-the-cherokee-verb.csv_Syllabary,learning-to-use-the-cherokee-verb.csv_Verb Number,learning-to-use-the-cherokee-verb.csv_normalized_key,lily-dict.csv_Category,lily-dict.csv_Cross_Reference,lily-dict.csv_Definition,lily-dict.csv_Definition_Long,lily-dict.csv_Entry,lily-dict.csv_Entry_Tone,lily-dict.csv_Etymology,lily-dict.csv_Index,lily-dict.csv_Plural_Tone,lily-dict.csv_PoS,lily-dict.csv_Source,lily-dict.csv_Source_Long,lily-dict.csv_Syllabary
8d0bc60dd9228319,,dGxpaHN0fHRsaWhzdA,container; pour; liquid,3rd person singular,100,verb (v.t.),ᏛᎪᏏᏏᏍᎬᎢ (v.t.),adlisdiha,a-tli-s-di-ha,ᎠᏟᏍᏗᎭ,àdlîsdịha,à:dlî:sdiha,he/she is pouring a liquid into a container,,Word_0100.01.m4a,,,100,100.1,,ih-ohd,False,False,False,False,False,none,False,False,a,con,False,False,False,False,96,he/she is pouring a liquid into a container,100,tlihst,tlihst,96,he/she is pouring a liquid into a container,100,FullEventful,ih-ohd,False,False,False,False,False,none,False,False,a,con,False,False,False,False,tlihst,tlihst,,,atlihstihaa,FullEventful,dGxpaHN0fHRsaWhzdA,a-tlihst-ih-a,,,,,,,,,,,,,,,,,,,,,,,,,,,dGxpaHN0fHRsaWhzdA,,,,,,,,,,,,,,,,,,"adlisdohdi, gahldiha, galadisdiha, galvdiha",he's pouring liquid into a container,,adlisdiha,a¹dli³²sdi.²ha,,299,,transitive verb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎠᏟᏍᏗᎭ
ad38cb8fad5fefb2,,,non believer,singular,1552,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ,udlasitv’ehi,u-dla-si-dv-e-hi,ᎤᏜᏏᏛᎡᎯ,udlàsǐtṿ́’e̋hi,u:dlà:sǐ:tv́’e̋:hi,non-believer,udlasidv’ehi,1552.1.m4a,,,1552,1552.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udlasitveha,nonbeliever,,udlasitvehi,u²dla¹si²³tv.³?e⁴hi,,1720,u²na.²dla¹si²³tv.³?e⁴hi,noun,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎤᏜᏏᏛᎡᎯ
260f1970d48bfc04,,,worried,singular,1788,adjective,ᏄᏍᏛᎢ ᎧᏃᎮᏍᎩ,uwelihisdi,u-we-li-hi-s-di,ᎤᏪᎵᎯᏍᏗ,ụwelǐhi̋sdi,uwe:lǐ:hi̋:sdi,worried,,,,,1788,1788.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uwelihia,worried,,uwelihisdi,u.²we²li²³hi⁴sdi,,1956,,adjective,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎤᏪᎵᎯᏍᏗ
b8ea59d860ba3d25,,,boy,singular,4,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ,achuja,a-tsu-tsa,ᎠᏧᏣ,ạchűja,achű:ja,boy,atsutsa,Word_CNLD_boy_4.1.m4a,,,4,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boy,,achuja,a.²chu⁴ja,,203,a.²ni²chu⁴ja,noun,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎠᏧᏣ
9fbc053b0248efe2,,,animal; male,singular,5,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ,achvya,a-tsv-ya,ᎠᏨᏯ,ạchvya,achv:ya,male animal,atsvya,0005.1.m4a,,,5,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,julichvyasdi,male (animal),,achvya,a.²chv²ya,,204,a.²ni²chv²ya,noun,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎠᏨᏯ
c73307b1cc0b6ee1,,,wood,singular,6,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ,ada,a-da,ᎠᏓ,ạda,ada,wood,,Word_0006.1.m4a,,,6,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,ada,a.²da,,206,,noun,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎠᏓ
6032a2e5be2929c2,,,animal; young,singular,7,noun,ᎪᎱᏍᏗ ᏴᎧᏃᎮᎭ,a’da,a-da,ᎠᏓ,ạ̋’da,a̋’da,"young animal, refers to an animal born in a litter or hatched",,0007.1.m4a,,,7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agina,young animal (animal born in litter or hatched),,ada,a.?⁴da,,205,a.²ni⁴da,noun,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎠᏓ
5eb1206f75f70254,,YXR8YXQ,bounce,3rd person singular,8,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.),adadega,a-da-de-ga,ᎠᏓᏕᎦ,àdạdéga,à:dadé:ga,it’s bouncing,,,,,8,8.1,,eg-invs,False,False,False,False,False,at,False,False,a,vowel_a,False,False,False,False,4,it’s bouncing,8,at,at,4,it’s bouncing,8,FullEventful,eg-invs,False,False,False,False,False,at,False,False,a,vowel_a,False,False,False,False,at,at,,,atatekaa,FullEventful,YXR8YXQ,a->at-at-ek-a,,,,,,,,,,,,,,,,,,,,,,,,,,,YXR8YXQ,,,,,,,,,,,,,,,,,,"adadega (limp), adadinvdiha",it's bouncing,,adadega,a¹da.²de³ga,,208,,intransitive verb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎠᏓᏕᎦ
8838ea1c607be1c8,,YXR8YXQ,limp,3rd person singular,9,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.),adadega,a-da-de-ga,ᎠᏓᏕᎦ,àdạdéga,à:dadé:ga,he/she is limping,,,,,9,9.1,,eg-invs[perf2],False,False,False,False,False,at,False,False,a,vowel_a,False,False,False,False,5,he/she is limping,9,at,at,5,he/she is limping,9,FullEventful,eg-invs[perf2],False,False,False,False,False,at,False,False,a,vowel_a,False,False,False,False,at,at,,,atatekaa,FullEventful,YXR8YXQ,a->at-at-ek-a,,,,,,,,,,,,,,,,,,,,,,,,,,,YXR8YXQ,,,,,,,,,,,,,,,,,,adadega (bounce),he's limping,,adadega,a¹da.²de³ga,,207,,intransitive verb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎠᏓᏕᎦ
30d423acd3adf296,,YXRpbnZ0fGF0aW52dA,bounce,3rd person singular,10,verb (v.i.),ᏛᎪᏏᏏᏍᎬᎢ (v.i.),adadinvdiha,a-da-di-nv-di-ha,ᎠᏓᏗᏅᏗᎭ,àdạdǐnv̂dịha,à:dadǐ:nv̂:diha,he/she is bouncing it,,Word_0010.1.m4a,,,10,10.1,,ih-ohd,False,False,False,False,False,at,False,False,a,vowel_a,False,False,False,False,6,he/she is bouncing it,10,atinvt,atinvt,6,he/she is bouncing it,10,FullEventful,ih-ohd,False,False,False,False,False,at,False,False,a,vowel_a,False,False,False,False,atinvt,atinvt,,,atatinvtihaa,FullEventful,YXRpbnZ0fGF0aW52dA,a->at-atinvt-ih-a,,,,,,,,,,,,,,,,,,,,,,,,,,,YXRpbnZ0fGF0aW52dA,,,,,,,,,,,,,,,,,,adadega (bounce),he's bouncing it,,adadinvdiha,a¹da.²di²³nv³²di.²ha,,209,,transitive verb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎠᏓᏗᏅᏗᎭ
