merged_id,kirk-book-data.csv_CED (Cherokee),kirk-book-data.csv_CED (English),kirk-book-data.csv_CED Index,kirk-book-data.csv_CED Link,kirk-book-data.csv_Cherokee,kirk-book-data.csv_English,kirk-book-data.csv_Index,kirk-book-data.csv_Kirk Verb (Cherokee),kirk-book-data.csv_Kirk Verb (English),kirk-book-data.csv_Object,kirk-book-data.csv_Person,kirk-book-data.csv_Same CED,kirk-book-data.csv_Tense,kirk-book-data.csv_Tone,kirk-book-data.csv_Verb Number,kirk-book-data.csv__Kirk_Object,kirk-book-data.csv_normalized_key,kirk-book-data.csv_screenshot name,kirk-book-data.csv_source_Verb Number,learning-to-use-the-cherokee-verb.csv_CED English,learning-to-use-the-cherokee-verb.csv_CED Entry,learning-to-use-the-cherokee-verb.csv_CED Index,learning-to-use-the-cherokee-verb.csv_CED Link,learning-to-use-the-cherokee-verb.csv_Cherokee,learning-to-use-the-cherokee-verb.csv_English,learning-to-use-the-cherokee-verb.csv_Full Tense,learning-to-use-the-cherokee-verb.csv_Index,learning-to-use-the-cherokee-verb.csv_Object,learning-to-use-the-cherokee-verb.csv_Set,learning-to-use-the-cherokee-verb.csv_Stem,learning-to-use-the-cherokee-verb.csv_Stem Number,learning-to-use-the-cherokee-verb.csv_Syllabary,learning-to-use-the-cherokee-verb.csv_Verb,learning-to-use-the-cherokee-verb.csv_Verb Number,learning-to-use-the-cherokee-verb.csv_normalized_key,learning-to-use-the-cherokee-verb.csv_source_Verb Number,lily-dict.csv_CED_Line,lily-dict.csv_Category,lily-dict.csv_Cross_Reference,lily-dict.csv_Culturev_Entry,lily-dict.csv_Culturev_Line,lily-dict.csv_Culturev_Link,lily-dict.csv_Definition,lily-dict.csv_Definition_Long,lily-dict.csv_Entry,lily-dict.csv_Entry_Tone,lily-dict.csv_Etymology,lily-dict.csv_Index,lily-dict.csv_MDS_syllabary_source,lily-dict.csv_Part_of_Speech,lily-dict.csv_Plural,lily-dict.csv_Plural_Syllabary,lily-dict.csv_Plural_Tone,lily-dict.csv_PoS,lily-dict.csv_Source,lily-dict.csv_Source_Long,lily-dict.csv_Syllabary,lily-dict.csv_Verb_Root,lily-dict.csv_Verb_Set,lily-dict.csv__PoS_Lily
45a64307de2920f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long ago,,gohigi,gohigi,,1233,,adv,,,,adverb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎪᎯᎩ,,,verb
0fe472e530e1efb2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,every day,,judodagwvda,ju²do²³dạ²gwṿ²da,,1406,,adv,,,,adverb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᏧᏙᏓᏋᏓ,,,verb
4d7e0ab0e3e7009c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537,,,become; happen,8,vbecome.html,"he's becoming, it's happening",,nigalsdiha,nị²gạ²lsdi²ha,,1537,,vi,,,,intransitive verb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᏂᎦᎵᏍᏗᎭ,alisdi,Set A,verb
edd32f7785e69abc,uksesdi,"1. he's watching him, 2. he's being careful",1827,https://cherokeedictionary.net/share/73858,duksesdi,She is studying,193,Duksesdi,Studying,none,Third Person Singular,X,Present Tense,u¹kse²sdi,8,none,3s|none|present,aksesd_B.PNG,8_none_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df43b573e2449453,,,,,ajvsiye'a,She is walking around,243,Ajvsiye'a,Walking Around,,Third Person Singular,,Present Tense,,10,3s,3s|3s|present,_walkAround.PNG,10_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ea242e6ad9a8cef,,,,,udanila,She is ill,1562,Udanila,Ill,,Third Person Singular,,Present Tense,,63,3s,3s|3s|present,_beIll.PNG,63_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1632251ea38bc969,,,,,doyi ujvsidi,She is going to the restroom,1879,Doyi Ujvsidiha,Restroom (Going To),,Third Person Singular,,Present Tense,,77,3s,3s|3s|present,_goToRestroom.PNG,77_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5bd6c6fb92ac296,,,,,osda-nigvneha,She is fixing,2746,Osda-Nigvneha,Fixing,,Third Person Singular,,Present Tense,,111,3s,3s|3s|present,_fix.PNG,111_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdd00605829162ba,,,,,adatlosga,She is winning,3409,Adatlosga,Winning,,Third Person Singular,,Present Tense,,137,3s,3s|3s|present,_win.PNG,137_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff5b8014541e6302,,,,,alkisohdi,She is practicing,3459,Alkisohdi,Practicing,,Third Person Singular,,Present Tense,,139,3s,3s|3s|present,alikisohd_A.PNG,139_3s_inanim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
