Index,Source,Source_Long,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Definition_Long,Cross_Reference,Plural,Plural_Syllabary,Verb_1st_Present,Verb_1st_Present_Syllabary,Verb_3rd_Past,Verb_3rd_Past_Syllabary,Verb_3rd_Present_Habitual,Verb_3rd_Present_Habitual_Syllabary,Verb_2nd_Imperative,Verb_2nd_Imperative_Syllabary,Verb_3rd_Infinitive,Verb_3rd_Infinitive_Syllabary,Entry_Tone,Plural_Tone,Verb_1st_Present_Tone,Verb_3rd_Past_Tone,Verb_3rd_Present_Habitual_Tone,Verb_2nd_Imperative_Tone,Verb_3rd_Infinitive_Tone,Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","adanvkalasgi, anvdanvkalasgi","ᎠᏓᏅᎧᎳᏍᎩ, ᎠᏅᏓᏅᎧᎳᏍᎩ",n,noun,noun,Geranium maculatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",adayakalisgi,ᎠᏓᏯᎧᎵᏍᎩ,n,noun,noun,Rosa virginiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",agali equa,ᎠᎦᎵ ᎡᏆ,n,noun,noun,Lupinus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",ahawi akata,ᎠᎭᏫ ᎠᎧᏔ,n,noun,noun,Rudbeckia fulgida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","aleugilisdi, ulaugilosdi, uleusdia, tiliyusdi","ᎠᎴᎤᎩᎵᏍᏗ, ᎤᎳᎤᎩᎶᏍᏗ, ᎤᎴᎤᏍᏗᎠ, ᏘᎵᏳᏍᏗ",n,noun,noun,Gillenia trifoliata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","alitsosti, alitsousda, ulitsosta ustiga","ᎠᎵᏦᏍᏘ, ᎠᎵᏦᎤᏍᏓ, ᎤᎵᏦᏍᏔ ᎤᏍᏘᎦ",n,noun,noun,Vicia caroliniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","aliwotahesgi, diniliwotehesgi, galiwotahesgi, diya sodoudisgi","ᎠᎵᏬᏔᎮᏍᎩ, ᏗᏂᎵᏬᏖᎮᏍᎩ, ᎦᎵᏬᏔᎮᏍᎩ, ᏗᏯ ᏐᏙᎤᏗᏍᎩ",n,noun,noun,Baptisia tinctoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","amadidodi, amadadodi, talulu","ᎠᎹᏗᏙᏗ, ᎠᎹᏓᏙᏗ, ᏔᎷᎷ",n,noun,noun,Eupatorium purpureum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","anidolaga, gadaludi, gadalada","ᎠᏂᏙᎳᎦ, ᎦᏓᎷᏗ, ᎦᏓᎳᏓ",n,noun,noun,Apocynum cannabinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","anisti, duyu iyusdi","ᎠᏂᏍᏘ, ᏚᏳ ᎢᏳᏍᏗ",n,noun,noun,Glycine apios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
