Index,Entry,Syllabary,Definition
161,-a,,"present tense (see Gram. I, D)"
162,-di,-ᏗᎢ,"infinitive (see Gram. I, D)"
163,-dina,-ᏗᎾ,"Imperative intensifier (see Gram. I, D)"
164,-do-,-Ꮩ-,"here-and-there (see Grammar I, D)"
165,-doh,-Ꮩ-,"accidental (see Grammar I, C)"
166,-dv,,"affirmative, (see Gram. I, D)"
167,-e-,,"1. repeatedly., 2. Going somewhere in order to _____.  (see Gram. I, C)"
168,-e-,,"benefactive, dative (see Gram. I, C)"
169,-e-,,"benefactive, dative (see Gram. I, C)"
170,-ei,,"reportative, (see Gram. I, D)"
171,-esdi,,"or. (see Gram. I, D)"
172,-g-,,"progressive. (see Gram. I, C)"
173,-gwu,,"1. only, just 2. still"
174,-ha,,partitive
175,-hehno,,because
176,-hi,,(see -i)
177,-hno,,and
178,-hno,,"and (see Gram. III, F)"
179,-hv,-Ꮂ,"Question marker (see Gram. I, D)"
180,-i,-Ꭲ,"locative (see Gram. II, B)"
181,-i,-Ꭲ,"agent (see Gram.II, B)"
182,-i,-Ꭲ,"future tense (Gram. I, D)"
183,-idi,-ᎢᏗ,"about to, on the verge of (see Gram. I, D)"
184,-ju,-Ꮷ,"question marker (see Gram. I, D)"
185,"-jv, -jvi","-Ꮸ, -ᏨᎢ","adj .suf. extremely, exceptionally (see Gram. III, B)"
186,-ke,,or (see Gram. I D)
187,-n-,,"plural (see Gram. I, B)"
188,-na,,"and what about ____? (see Gram. II, B)"
189,-nei,,"adj. suf. ordinal, (See Gram. III, B)."
190,-o-,,"repeatedly (see Gram I, C)"
191,-ohn-,,"completive (see Gram. I, C)"
192,-oi,,"habitual (see Gram. I, D.)"
193,-oi,,past perfect (see Gram. I D)
194,-sdi,ᏍᏗ,"instrumental (see Gram. I, D)"
195,-si,Ꮟ,"or else (see Gram. I, D)"
196,-sisi,ᏏᏏ,"duplicative (see Gram. I, C)"
197,-vi,,"future imperative (see Gram. I, D)"
198,-vi,,"past tense (see Gram. I, D)"
199,-we-,,"reversive (see Gram. I, C)"
200,"-ya, -yai",,"pure blood, full blood (see Gram. II, B)"
201,a-,,"third person animate (see Gram. II, A)"
202,a-,,"third person subject (see Gram. I, B)"
330,agi-,ᎠᎩ-,"first person, singular subject (see Gram. I, B)"
358,agw-,,"(see agi-) first person subject (see Gram. I, B)"
462,ak-,ᎠᎩ-,(see agi-)
745,d-,,(see de-)
746,da-,,"future tense, (see Gram. I, A)"
747,da-,,"motion towards speaker (see Gram. I, A)"
828,de-,Ꮥ-,"verbal prefix - plural object (see Grammar. I, A)"
845,di-,Ꮧ-,"noun prefix plural (see Gram. II, A)"
846,di-,Ꮧ-,(see de-)
847,di-,Ꮧ-,"verbal prefix - distant position (see Gram. I, A)"
955,e-,,"passive, (see Gram. I, A)"
956,e-,,"imperative, (see Gram. I, A)"
971,g-,,"First and third singular subject. (see Gram. I, B)"
972,ga-,,"since. (see Gram I, A)"
973,ga-,,"third singular subject  (see Gram. I, B)"
974,ga-,,"third person plural animate object. (see Gram. I, B)"
1311,h-,,second person singular
1338,i-,Ꭲ-,"repetitive (see Gram. I, A)"
1378,j-,,"past tense (see Gram. I, A)"
1379,j-,,"relative (see Gram. I, A)"
1380,ja-,Ꮳ-,"second person singular (see Gram. I, B)"
1384,ji-,Ꮵ-,"first person singular subject (see Gram. I, D)"
1527,n-,,"1. lateral position, 2. already, 3. reference to previously noted action (see Gram. I, A)"
1535,ni-,,see n-
1572,o-,,"exclusive (see Gram. I, B)"
1683,u-,Ꭴ,"third person subject (see Gram. I, B)"
1987,w-,,"translocative (see Gram. I, A) (direction away from speaker)"
2009,"wi-, w-",,"1. motion away from speaker 2. back toward speaker (see Gram. I, A)"
2017,y-,,"non-factual (see Gram. I, A)"
2018,y-,,"negative (not), conditional (if) (see Gram. I, A)"
2020,yi-,,see y-
