sentence_id,syllabary,phonetic,english,error_type,source,base_form_id,base_word_syllabary,base_word_phonetic,base_word_english
a98ef0cf2e55,ᎬᎾ * ᎦᏅᏍᎨ * ᎠᏍᏗᎩᎠ.,gv́:nâ * ganv:sgé *: à:sdi:gí'a,He's eating a turkey *leg.*,word_count_mismatch,cn-app-dictionary.csv,6c96d5d6b1ef634f,ᎦᏅᏍᎨ,ganvsge,
a8a137b78c9c,* ᎦᎸᎳ * ᏗᎨ ᏫᎶᎦ.,* galv̌:ládige̋* hwí'lo:gâ,Climb up *higher.*,word_count_mismatch,cn-app-dictionary.csv,7cfeaffd44d0056f,ᎦᎸᎳᏗᎨᎢ,galvladige'i,
06d813c231bb,"ᎾᏍᎩ ᎦᎶᏁᏛ ᎤᏁᎳᏗᏍᏗᏱ * ᏗᏥᎾᏫᏱ * ᎪᎯᏳᏗ ᎬᏙᏗ ᎨᏒᎢ""; ᎡᏈᏌ ᎠᏁᎯ 3:17""","Nasgi Galonedv uneladisdiyi * ditsinawiyi * gohiyudi gvdodi gesvi;"" Equisa ""","hat Christ may dwell *in your hearts* by faith; Ephesians 3:17""",word_count_mismatch,lily-dict.csv,b930986ac5fb7e2e,ᎤᎾᏫᏱ,unawiyi,in his/her heart
9d2ad7b0964d,ᎠᎩᏳᏍᎨ * ᎠᎩᎪᎲ * ᎦᎶᎯᏍᏗ ᏭᏜᏅᏛᎢ.,* akiyu:sge̋:* à:gigo:hv́ galohisdi̋: wǔ:dlánv:dv̋:'i,I saw an *elbow* through an opening in the door.,asterisk_mismatch,cn-app-dictionary.csv,d2d3333cd7532a5b,ᎠᎩᏳᏍᎨ,akiyusge,
8e7f60cdd3bb,ᏂᎦᎵᏍᏙᏗᏍᎨ * ᎤᎵᎬᏚᎸᎢ.* (ᎼᏏ ᎢᎬᏱᏱ ᎤᏬᏪᎳᏅᎯ 38:15),nigalsdodisge * ulgvdulvi.*,because *she had covered her face.* (Genesis 38:15),word_count_mismatch,lily-dict.csv,fd67a6ba8a102431,ᎤᎵᎬᏚᎳ,ulgvdula,"he's wearing a mask, veil, face covering"
b153ac9495b6,* ᎦᏄᎸ ᎠᎦᎵ ᏍᏗ * ᎣᏍᏓ ᏂᎬᏁᎭ.,* ganu:lv́ ágà:lsdi * ő:sda nigv́:ne:ha,He's repairing a *lawn mower.*,word_count_mismatch,cn-app-dictionary.csv,332ec955ce80d20b,ᎦᏄᎸ ᎠᎦᎵᏍᏗ,ganulv agalsdi,
ae30b41f8025,ᎧᏰᏉᏂ ᏅᎩᏁ ᏗᏔᏍᎩᏍᏗ * ᏓᏂᏔᏍᎩᏍᏗᏍᎪ * Ꭲ,kaye:gwǒ:ní nvhgi:ne̋: di:tasgi̋:sdi * dà:nhtasgí:sdi:sgó:*'î,On July fourth they *fire* firecrackers.,word_count_mismatch,cn-app-dictionary.csv,fff975a4cf05ca31,ᎠᏔᏍᎩᏍᏗᎭ,atasgisdiha,
241345a6c397,ᎦᏌᎴᏂ * ᎯᏄᎦ *‚ ᎤᏴᏜᎮᏃ.,gà:salě:ni * hihnù:ga * ù:hyv:dláhe:hno,*Take* a coat‚ because it's cold.,word_count_mismatch,cn-app-dictionary.csv,badb0ff2954e2ad1,ᎦᏁᎦ,gahnega,
932d67bd09fd,* ᎤᎾᏙᏓᏉᏅ * ᏛᎾᎴᏅᎯ ᏓᎾᏕᏠᏆᏍᎬᎢ.,u:nadǒ:dágwohnv̋: dv:nále:nv:hi * dà:nade:hlohgwâ:sgv̋:'i *,They're going to start school *Monday.*,asterisk_mismatch,cn-app-dictionary.csv,ae0a334ad615f6bc,ᎤᎾᏙᏓᏉᏅᎢ,Unadodagwohnv'i,
b0d55b95af30,ᎢᏤ ᎬᏔᏅᏙᏗ ᏗᎦᎳ * ᏗᏍᏙᏗ * ᎤᏩᏒᎢ.,ije̋: ktanv̋:dohdi * digaladì:sdohdi * ù:hwasv̌:'i,He bought a new tool *box.*,word_count_mismatch,cn-app-dictionary.csv,c69c4cf79104cfeb,ᎦᎳᏗᏍᏙᏗ,galadisdohdi,
9622be21e4f0,"ᏉᎳ ᏧᏬᏪᎳᏅᎯ ᏔᎵᏁ ᏘᎹᏗ  ᏧᏬᏪᎳᏁᎸᎯ  4:5   ᏂᎯᏍᎩᏂ ᎮᏯᏔᎯᏳ ᎨᏎᏍᏗ ᏂᎦᎥ ᏂᏣᏛᎿᏕᎬᎢ, ᎲᏂᏗᏳ ᎨᏎᏍᏗ ᎯᎩᎵᏲᎬᎢ, ᏕᏣᎸᏫᏍᏓᏁᎮᏍᏗ * ᎠᎵᏥᏙᏂᏙᎯ * ᏧᎸᏫᏍᏓᏁᏗ ᎨᏒᎢ","Quola tsuwohwelanvhi taline Timadi tsuwohwelanelvhi nihisgini heyatahiyu gesesdi nigav nitsadvhnadegvi, hvnidiyu gesesdi higiliyogvi, detsalvhwisdanehesdi * alitsidonidohi * tsulvhwisdanedi gesvi","2nd Timothy 4:5  But watch thou in all things, endure afflictions, do the work of an *evangelist*, make full proof of thy ministry.",word_count_mismatch,lily-dict.csv,93f4586eb19b6874,ᎠᎵᏥᏙᏂᏙᎯ,alitsidonidohi,evangelist
ace72cc150f1,ᏔᎵ ᏂᏕᎦᎳᏗᏍᏛ ᏗᎪᎦᏍᏗ * ᏕᎪᎦᏍᎪ * ᏏᎦ.,ta'li nidegaladisdv * digoksdi * degoksgo'i siga,*He smokes* two packages of cigarettes in one day.,asterisk_mismatch,cn-app-dictionary.csv,7f8f6edd5b92ebaa,ᎪᎦᏍᎦ,goksga,
