sentence_id,syllabary,phonetic,english,sentence_notes,sources
be81dc927487,Ꮎ * ᎠᏂᏧᏣ * ᏍᏆᏞᏍᏗ ᏓᎾᏁᎶᎲᏍᎦ.,ná * ani:chű:ja * sgwà:hle̋:sdi dà:ná:ne:lo:hv́sga,The *boys* are playing ball.,,cn-app-dictionary.csv
d433936fb804,ᏥᏔᎦ * ᎠᏂᏨᏯ * ᎤᎩᏥᏍᏕᏱ ᎠᎾᏴᎪᎢ.,jitǎ:ga * ani:chv:ya * u:gitsde̋:yi à:ná:yhgó:'i,*Roosters* crow at dawn.,,cn-app-dictionary.csv
4f110984292b,ᎯᎳ ᏧᎬᏩᎶᏗ ᏌᏊ ᎢᎦᏒᏘ * ᎠᏓ?*,hila̋: ju:gv̋:walhdi sà:gwű i:gâ:sv̋:ti * ada *,How much does one rick of *wood* cost?,,cn-app-dictionary.csv
7cb73dac3dd4,ᏥᏔᎦ * ᎠᏂᏓ * ᏧᏛᎯᏍᏙᏗ ᎠᏓᏅᏖᎭ.,jitǎ:ga * ani̋:da * ju:tvhisdóhdi̋ à:da:nhtě:ha,He's thinking about raising *chicks.*,,cn-app-dictionary.csv
b45ec5fff979,ᎡᎳᏗ ᏭᏗᎾ ᏍᏆᏞᏍᏗ * ᎤᏓᏗᏅᏒᎢ.*,e:ladí wǔ:di̋:na sgwà:hle̋:sdi * ù:dadi:nv̂:sv̌:'i *,When he threw the ball down‚ it *bounced.*,,cn-app-dictionary.csv
4872e91fc6be,ᎠᏲᎤᏟ ᎠᏍᎦᏯ * ᎠᏓᏕᎬ * ᏥᎪᏩᏘᎭ.,ayo'ű:hli asgaya * à:dadé:gv̋:* ji:gòwahtǐ:ha,I see a lame man *limping.*,,cn-app-dictionary.csv
b9afa52f5da7,Ꮎ ᎠᎳᏍᎦᎵᏍᎩ ᏍᏓᏯ * ᎠᏓᏗᏅᏗᎭ * ᏍᏆᏞᏍᏗ.,ná alà:sgali̋:sgi sda̋:ya * à:dadǐ:nv̂:dǐ:ha * sgwà:hle̋:sdi,The ball player is *bouncing* the ball hard.,,cn-app-dictionary.csv
03a5fd2fba1d,ᎤᏬᏚᎯ ᎠᏓᏠᏍᏗ * ᎤᏓᏠᏢᎢ * ᏗᎦᏚᎲ ᎤᏪᎾ.,uwo:dű:hi adà:dlǒ:sdi * ù:dá:dlo:hlv̌:'i * diga:dú:hv̋ ù:we̋:na,*She put on* a pretty *belt *when she went to town.,,cn-app-dictionary.csv
e5ce24b448f9,* ᎠᏓᏠᏍᏗ * ᎠᎩᏁᏒ ᏓᏂᏍᏓᏲᎯᎲᎢ.,* adà:dlǒ:sdi * à:giné:sv́: dà:ni:sdayo:hihv̋:'i,I got a *belt* for Christmas.,,cn-app-dictionary.csv
6f4734d9af39,* ᎠᏓᏙᎵᏍᏗ * ᎤᏔᏲᏢ ᎠᎵᏣᏙᎲᏍᎩ.,* ada:dǒ:lî:sdi * ù:tayo:hlv́ alhjadő:hvsgi,The preacher asked for *prayers.*,,cn-app-dictionary.csv
