ID,Source,Syllabary,Transliteration,English,Audio,Story,Chapter,Line,Author,Speaker,,Word-by-word Literal Translation,Cherokee Morphemes,English Morphemes (Gloss)
,Cherokee Narratives,ᏣᏆᏛᏏᏗᏒ ᎢᎸᏢ 57 ᏧᏕᏘᏴᏌᏗᏒ Ꮭ ᎠᏏ ᏗᎾᎦᎵᏍᎩ ᏱᏙᎩᏏᎳᏕ ᎣᎨᏅᏒ ᎦᎵᏦᏕ,jagwatvsidisv ilvhdlv 57 judetiyvsadisv hla asi dinagalisgi yidogisilade ogenvsv galhjode,"When I was growing up, I guess it was about the year 1957, we did not have electricity in our house yet.",,Ball of Fire,,1,Durbin Feeling,,,"when I was growing up, somewhere, 57, the year of, not, yet, electricity, we had no wiring in our home, house",j-agw-atvs-idis-v ilvhdlv 57 j-u-detiyv-sadis-v hla asi di-n-agalis-g-i yi-d-ogi-silad-e og-envs-v galhjode,"Rel 1 grow-up Inc exP, somewhere, 57, Pst 3 year-of exP, not, yet, Pl Pl to-lighten Prog Ag, nonF Pl they-and-I connect repP, they-and-I home exP, house"
,Cherokee Narratives,ᎣᎩᎸᏉᏗ ᎨᏒ ᎾᎥ ᎢᏦᎦᏓᎵ ᏧᏁᏅᏒ ᏬᎨᏓᏍᏗ ᏗᏓᏴᎳᏛᏍᎩ ᎤᏂᎲ ᎠᎴ ᏧᎵᏏᏅᏓᏊ ᎢᏳᏍᏗ,ogilvkwdi gesv na?v ijogadali junenvsv wogedasdi didayvlatvsgi unihv ale julisihnvdagwu iyusdi,"We really liked to visit our neighbors. They had a television, and we would go just about every evening.",,Ball of Fire,,2,Durbin Feeling,,,"we liked, was near, apart, their home for us to go there, television, they had, and, nightly just, almost",ogi-lvkwdi ges-v na?v ijo-gadali j-u-n-envs-v w-og-edas-di di-d-a-yvlatvs-g-i u-ni-h-v ale julisihnvdagwu iyusdi,"they-and-I like, be exP, near, they-and-I apart, Pl 3 Pl home exP, Tr they-and-I go Inf, Pl Pl 3 in-view Prog Ag, 3 Pl have exP, and, nightly just, almost"
,Cherokee Narratives,ᎢᎸᏍᎩ ᎢᏯᏓᏁᎸ ᏓᎾᏠᏏᎯᎲ ᏗᏓᏴᎳᏛᏍᎩ ᏧᎾᎦᏙᏍᏔᏂᏢᎢ,ilvsgi iyadanelv danadlosihihv didayvlatvsgi junagatostanihlv?i,A few families would come to watch the television.,,Ball of Fire,,3,Durbin Feeling,,,"a few, families, they would come and gather, television, for them to come",ilvsgi iyadanelv d-a-n-adlosihih-v di-d-a-yvlatvs-g-i j-u-n-agatos-tan-ihl-v?i,"a-few, family, Pl 3 Pl gather exP, Pl Pl 3 in-view Prog Ag, Inf 3 Pl watch Inf come exP"
,Cherokee Narratives,ᏌᏊ ᎢᏳᏩᎪᏗ ᏒᏃᏱ ᏫᎣᎩᎷᏣ ᏦᎨᏅᏒ ᎩᏟ ᎤᏍᎦᏎᏗᏊ ᏂᎦᏪᏍᎬ ᏓᏑᏫᏍᎬ ᎤᏠᏱᏊ ᎪᎱᏍᏗ ᎠᏊᎢᏴ ᏣᎪᏩᏘᏍᎪ,sagwu yuwagodi svnoyi wi?ogiluhja jogenvsv gitli usgasehdigwu nigawesgv dasuhwisgv utloyigwu gohusdi agwu?iyv jagowatisgo,"One night when we returned home, our dog was barking fiercely as if he were barking at some animal close by.",,Ball of Fire,,4,Durbin Feeling,,,"one time, midnight, when we returned, at home, dog, fiercely, was uttering, it was barking, just as, something, here close by, as if he were seeing it",sagwu yuwagodi svnoyi wi-?ogi-luhj-a j-og-envs-v gitli usgasehdi-gwu ni-g-awes-g-v d-a-suhwis-g-v uhloyi-gwu gohusdi agwu?iyv j-a-gowatis-g-o,"one, time, midnight, Tr they-and-I arrive imP, Pl they-and-I home exP, dog, fiercely just, Lat 3 utter Prog exP, Pl 3 bark Prog exP, same just, something, close-by, Rel 3 see Prog Hab"
,Cherokee Narratives,ᎤᏠᏱ ᎾᏛᏁᎲ ᎠᏁᎷᎩᏍᎬ ᎠᎨ ᎢᏳᏓᏅᎯᏓ ᏃᏊᎴ ᏗᎠᏨᏍᎪ ᎠᏊᎢᏴ ᎢᎦᎷᎪᎢ ᎠᎴ ᏓᏑᏫᏍᎬ ᏂᎬᏩᏍᏙᎢ,uhloyi nadvnehv anelugisgv age iyudanvhida nogwule di?ajvsgo agwu?iyv iga?luhgo?i ale dasuhwisgv nigvwasdo?i,"He would run after it and then run back, barking all along.",,Ball of Fire,,5,Durbin Feeling,,,"the same, he was doing, it was chasing after it, over there, distance, and then, he would turn back, here close by, he would return, and, his barking, it would continue",uhloyi n-a-dvneh-v a-n-elugis-g-v age iyudanvhida nogwule di-a-jvs-g-o agwu?iyv i-g-a?luhg-o?i ale d-a-suhwis-g-v ni-g-vwasd-o?i,"same, Spec 3 do exP, 3 Pl chase Prog exP, over-there, at-distance, then and, Dst 3 turn-back Prog Hab, here-close-by, Rep arrive Prog Hab, and, Pl 3 bark Prog exP, Lat 1 continue Hab"
,Cherokee Narratives,Ꮭ ᎤᏟᎢᎦ ᏲᏣᎦᏎᏍᏓᏁᎴ ᎢᎬᏱ ᎥᏍᎩ ᏄᏛᏁᎳ,hla udli?iga yojagasesdanele igvyi vsgi nudvnela,We didn't pay much attention to him that first night.,,Ball of Fire,,6,Durbin Feeling,,,"not much, we didn't pay much attention to it, at first, that, when it did that",hla udli?iga y-oj-agasesdan-el-e igvyi vsgi n-u-dvn-el-a,"not, much, nonF they-and-I pay-attention Dat repP, at-first, that, Spec 3 do recP"
,Cherokee Narratives,ᎤᎩᏨᏓᏍᎩᏂ ᎤᏒ ᎤᏠᏱ ᏄᏛᏁᎸ,ugijvdasgini usv uhloyi nudvnelv,And the next night he did the same thing.,,Ball of Fire,,7,Durbin Feeling,,,"but the next day, night, same, he did it",ugijvda-sgini usv uhloyi n-u-dvnel-v,"next-day however, night, same, Spec 3 do exP"
,Cherokee Narratives,ᎠᏁᎷᎩᏍᎪ ᎠᎨ ᎢᏳᏓᏅᎯᏓ ᏗᎠᏨᏍᎪ ᏃᏊᎴ ᎢᎠᏁᎷᎩᏍᎪ ᎤᏠᏱᏊ ᏳᏚᎵᎭ ᎩᎶ ᎤᏍᏓᏩᏛᏍᏗᎢ,anelugisgo age iyudanvhida di?ajvsgo nogwule i?anelugisgo utloyigwu yuduliha kilo usdawadvsdi?i,"He would bark, run after whatever it was, and then run back as if he wanted someone to follow him.",,Ball of Fire,,8,Durbin Feeling,,,"he would chase after it, over there, distance, he would turn back, again he would chase after it, just as though, if he wanted someone, to follow him",a-n-elugis-g-o age iyudanvhida di-?a-jvs-g-o nogwu-le i-?a-nelugis-g-o uhloyi-gwu y-u-dulih-a kilo u-sdawadvs-di?i,"3 Pl chase Prog Hab, over-there, distance, Dst 3 turn-back Prog Hab, Rep 3 chase Prog Hab, same just, nonF 3 want Pres, someone, 3 follow Inf"
,Cherokee Narratives,ᎢᎬᏱᏃ ᏩᎦᏊ ᎠᎴᏱᎩ ᎪᎱᏍᏗᏊ ᏄᏓᎴ ᎦᎾᏝᎢ ᏱᎡᏙᎭ ᎣᎨᎵᏒᎢ,igvyihno wahgagwu aleyigi gohusdigwu nudale ganahla?i yi?edoha ogelisv?i,At first we thought it was just a cow or some other animal.,,Ball of Fire,,9,Durbin Feeling,,,"and at first, just a cow, or, just something, something else, stock, it may be roaming, we all thought",igvyi-hno wahga-gwu aleyigi gohusdi-gwu nudale ganahla?i yi-?e-doh-a og-elis-v?i,"at-first and, cow just, or, something just, different, livestock, nonF be-there Pres, they-and-I think exP"
,Cherokee Narratives,ᏃᏊ ᎤᎦᏛᏓᏁᎸ ᎡᏙᏓ ᏥᎨᏒ ᎠᎴ ᎦᎶᏇ ᎤᏒᏕᎾ ᏭᏴᎲ ᎦᎵᏦᏕ,nogwu ugatvhdanelv edoda jigesv ale galogwe usvdena wuyvhv galihjode,"But when he did it the second time, my dad got curious and went in the house and got our shotgun.",,Ball of Fire,,10,Durbin Feeling,,,"then, it made him curious, my father, who was, and, gun, big barrel, he went and got, in the house",nogwu ug-advh-dan-el-v edoda ji-ges-v ale galogwe usvdena w-u-yvh-v galihjode,"then, 3 curious Caus Dat exP, 1Pos father, Rel be exP, and, gun, big-barrel, Tr 3 go-get exP, house-in"
