merged_id,kirk-book-data.csv_,kirk-book-data.csv_3a,kirk-book-data.csv_CED (Cherokee),kirk-book-data.csv_CED (English),kirk-book-data.csv_CED Index,kirk-book-data.csv_CED Link,kirk-book-data.csv_Cherokee,kirk-book-data.csv_English,kirk-book-data.csv_Kirk Verb (Cherokee),kirk-book-data.csv_Kirk Verb (English),kirk-book-data.csv_Object,kirk-book-data.csv_Person,kirk-book-data.csv_Same CED,kirk-book-data.csv_Tense,kirk-book-data.csv_Tone,kirk-book-data.csv_Verb Number,kirk-book-data.csv__Kirk_Object,kirk-book-data.csv_normalized_key,kirk-book-data.csv_screenshot name,kirk-book-data.csv_source_Verb Number,learning-to-use-the-cherokee-verb.csv_,learning-to-use-the-cherokee-verb.csv_CED English,learning-to-use-the-cherokee-verb.csv_CED Entry,learning-to-use-the-cherokee-verb.csv_CED Index,learning-to-use-the-cherokee-verb.csv_CED Link,learning-to-use-the-cherokee-verb.csv_Cherokee,learning-to-use-the-cherokee-verb.csv_English,learning-to-use-the-cherokee-verb.csv_Full Tense,learning-to-use-the-cherokee-verb.csv_Index,learning-to-use-the-cherokee-verb.csv_Object,learning-to-use-the-cherokee-verb.csv_Set,learning-to-use-the-cherokee-verb.csv_Stem,learning-to-use-the-cherokee-verb.csv_Stem Number,learning-to-use-the-cherokee-verb.csv_Syllabary,learning-to-use-the-cherokee-verb.csv_Verb,learning-to-use-the-cherokee-verb.csv_Verb Number,learning-to-use-the-cherokee-verb.csv_normalized_key,learning-to-use-the-cherokee-verb.csv_source_Verb Number,lily-dict.csv_,lily-dict.csv_CED_Line,lily-dict.csv_Category,lily-dict.csv_Cross_Reference,lily-dict.csv_Culturev_Entry,lily-dict.csv_Culturev_Line,lily-dict.csv_Culturev_Link,lily-dict.csv_Definition,lily-dict.csv_Definition_Long,lily-dict.csv_Entry,lily-dict.csv_Entry_Tone,lily-dict.csv_Etymology,lily-dict.csv_Index,lily-dict.csv_MDS_syllabary_source,lily-dict.csv_Part_of_Speech,lily-dict.csv_Plural,lily-dict.csv_Plural_Syllabary,lily-dict.csv_Plural_Tone,lily-dict.csv_PoS,lily-dict.csv_Source,lily-dict.csv_Source_Long,lily-dict.csv_Syllabary,lily-dict.csv_Verb_Root,lily-dict.csv_Verb_Set,lily-dict.csv__PoS_Lily
c4494e1a3d744e5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,long ago,,gohigi,gohigi,,1233,,adv,,,,adverb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᎪᎯᎩ,,,verb
ff023d567d00dd79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,every day,,judodagwvda,ju²do²³dạ²gwṿ²da,,1406,,adv,,,,adverb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᏧᏙᏓᏋᏓ,,,verb
bee0db81f3ea86bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537,,,become; happen,8,vbecome.html,"he's becoming, it's happening",,nigalsdiha,nị²gạ²lsdi²ha,,1537,,vi,,,,intransitive verb,ced,Dr Durbin Feeling Cherokee English Dictionary 1975,ᏂᎦᎵᏍᏗᎭ,alisdi,Set A,verb
c81dfba39ca7e4bb,,3484,dahlinoheha,he's conversing,763,https://cherokeedictionary.net/share/72752,ahlinohehdi,She is talking to;She is speaking with,Ahlinohehdi,"Talking To, Speaking With",3a,Third Person Singular,X,Present Tense,da¹hli.²no²he.³ha,140,3a,3s|3a|present,_talkToSpeakWith.PNG,140_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c57c5474aabf1e05,,5532,,,,,ji'lawsdi'a,I am staying with someone,U'lawsdi'a,Staying With Someone,3a,First Person Singular,,Present Tense,,220,3a,3s|3a|present,_stayWithSomeone.PNG,220_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4851aa827ba872c5,,5567,,,,,ganose'a,She is telling her,Ganose'a,S/he is Telling Him/Her,3a,Third Person Singular,,Present Tense,,221,3a,3s|3a|present,_tellHimHer.PNG,221_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3812f6639b6c6e1,,6186,,,,,gegehyohvsga,She is teaching her,Gegehyohvsga,S/he is Teaching Him/Her,3a,Third Person Singular,,Present Tense,,247,3a,3s|3a|present,_teachHimHer.PNG,247_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc62899dbd0dc4a2,,6211,,,,,asdayvhvsga,She is cooking her a meal,Asdayvhvsga,S/he is Cooking Him/Her a Meal,3a,Third Person Singular,,Present Tense,,248,3a,3s|3a|present,_cookHimHerAMeal.PNG,248_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0c1f31b2994bd43,,7701,ahwahtiha,"he's finding him, it",412,https://cherokeedictionary.net/share/72395,ahwahtiha,She is finding something %(alive)%,Ahwahtiha,Find (living),3a,Third Person Singular,X,Present Tense,a¹hwah²ti.³ha,330,3a,3s|3a|present,_find_living.PNG,330_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d5006a8f60b5897,,7801,ahyaniha,"1. he's calling him, inviting him. 2. he's receiving, getting him",420,https://cherokeedictionary.net/share/72403,wahyaniha,She is getting something %(alive)%,Wahyaniha,Get (living),3a,Third Person Singular,X,Present Tense,a¹hya.²ni.³ha,335,3a,3s|3a|present,_get_living.PNG,335_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfe374d014fb93e9,,8096,,,,,atihneha,She has it with her %(alive)%;She is holding it in her hand %(alive)%,Atihneha,Have With / Hold in Hand (living),3a,Third Person Singular,,Present Tense,,350,3a,3s|3a|present,_holdInHand_living.PNG,350_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97cf16700fb05640,,8192,ganea,1. he's getting a flexible object  2. he's picking up a flexible object,1098,https://cherokeedictionary.net/share/73101,gane'a,She is picking it up %(alive)%;She is putting it up %(alive)%,Gane'a,Pick Up/Put Up (living),3a,Third Person Singular,X,Present Tense,ga.²ne³?a,355,3a,3s|3a|present,_pickUp_living.PNG,355_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c75f69eaa7fe8ec1,,8292,,,,,atihnawidiha,She is taking it along %(alive)%,Atihnawidiha,Take Along (living),3a,Third Person Singular,,Present Tense,ga.²na³²wi²di.³ha,360,3a,3s|3a|present,_takeAlong_living.PNG,360_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39a5b6c699b5f176,,8392,,,,,atihnohiha,She is bringing something %(alive)%,Atihnohiha,Bring (living),3a,Third Person Singular,,Present Tense,,365,3a,3s|3a|present,_bring_living.PNG,365_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe42dea979442a66,,8627,,,,,ahlvsga,She is placing it %(alive)% on something,Ahlvsga,Place on Something (living),3a,Third Person Singular,,Present Tense,,379,3a,3s|3a|present,_placeOnSomething_living.PNG,379_3a_anim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
