Index,Source,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Cross_Reference,Entry_Tone,Other_Forms,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,banks,"adanvkalasgi, anvdanvkalasgi","ᎠᏓᏅᎧᎳᏍᎩ, ᎠᏅᏓᏅᎧᎳᏍᎩ",n,noun,noun,Geranium maculatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,banks,adayakalisgi,ᎠᏓᏯᎧᎵᏍᎩ,n,noun,noun,Rosa virginiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,banks,agali equa,ᎠᎦᎵ ᎡᏆ,n,noun,noun,Lupinus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,banks,ahawi akata,ᎠᎭᏫ ᎠᎧᏔ,n,noun,noun,Rudbeckia fulgida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,banks,"aleugilisdi, ulaugilosdi, uleusdia, tiliyusdi","ᎠᎴᎤᎩᎵᏍᏗ, ᎤᎳᎤᎩᎶᏍᏗ, ᎤᎴᎤᏍᏗᎠ, ᏘᎵᏳᏍᏗ",n,noun,noun,Gillenia trifoliata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,banks,"alitsosti, alitsousda, ulitsosta ustiga","ᎠᎵᏦᏍᏘ, ᎠᎵᏦᎤᏍᏓ, ᎤᎵᏦᏍᏔ ᎤᏍᏘᎦ",n,noun,noun,Vicia caroliniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,banks,"aliwotahesgi, diniliwotehesgi, galiwotahesgi, diya sodoudisgi","ᎠᎵᏬᏔᎮᏍᎩ, ᏗᏂᎵᏬᏖᎮᏍᎩ, ᎦᎵᏬᏔᎮᏍᎩ, ᏗᏯ ᏐᏙᎤᏗᏍᎩ",n,noun,noun,Baptisia tinctoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,banks,"amadidodi, amadadodi, talulu","ᎠᎹᏗᏙᏗ, ᎠᎹᏓᏙᏗ, ᏔᎷᎷ",n,noun,noun,Eupatorium purpureum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,banks,"anidolaga, gadaludi, gadalada","ᎠᏂᏙᎳᎦ, ᎦᏓᎷᏗ, ᎦᏓᎳᏓ",n,noun,noun,Apocynum cannabinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,banks,"anisti, duyu iyusdi","ᎠᏂᏍᏘ, ᏚᏳ ᎢᏳᏍᏗ",n,noun,noun,Glycine apios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,banks,aniwanisgi,ᎠᏂᏩᏂᏍᎩ,n,noun,noun,Lycopus virginiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,banks,aniyusdi,ᎠᏂᏳᏍᏗ,n,noun,noun,Potentilla spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,banks,"anvdasa equa, siqua unigisdi","ᎠᏅᏓᏌ ᎡᏆ, ᏏᏆ ᎤᏂᎩᏍᏗ",n,noun,noun,Oenothera spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,banks,"asugi iyusti, atagi ganunvlahi","ᎠᏑᎩ ᎢᏳᏍᏘ, ᎠᏔᎩ ᎦᏄᏅᎳᎯ",n,noun,noun,Gaultheria procumbens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,banks,ata atayusdi,ᎠᏔ ᎠᏔᏳᏍᏗ,n,noun,noun,Aster spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,banks,"atsa equa, ditlasdegi sdequo","ᎠᏣ ᎡᏆ, ᏗᏝᏍᏕᎩ ᏍᏕᏉ",n,noun,noun,Gerardia virginica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,banks,daleda tsutano,ᏓᎴᏓ ᏧᏔᏃ,n,noun,noun,Linum usitatissimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,banks,daloni,ᏓᎶᏂ,n,noun,noun,Rhus copallina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,banks,daloni,ᏓᎶᏂ,n,noun,noun,Coreopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,banks,"daloni, ugugu so, unesdila equa","ᏓᎶᏂ, ᎤᎫᎫ Ꮠ, ᎤᏁᏍᏗᎳ ᎡᏆ",n,noun,noun,Solidago spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,banks,"dalonige ganiquilisgi, unada akata, delonige dilasgi","ᏓᎶᏂᎨ ᎦᏂᏈᎵᏍᎩ, ᎤᎾᏓ ᎠᎧᏔ, ᏕᎶᏂᎨ ᏗᎳᏍᎩ",n,noun,noun,Helianthus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,banks,"dasawai, digasaquala tsuwaloga, soquili ulasidi","ᏓᏌᏩᎢ, ᏗᎦᏌᏆᎳ ᏧᏩᎶᎦ, ᏐᏈᎵ ᎤᎳᏏᏗ",n,noun,noun,Galax aphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,banks,"dasiuwoyi, dokasi gotsitsi, oganu agadage","ᏓᏏᎤᏬᏱ, ᏙᎧᏏ ᎪᏥᏥ, ᎣᎦᏄ ᎠᎦᏓᎨ",n,noun,noun,Epigaea repens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,banks,dayewu,ᏓᏰᏭ,n,noun,noun,Cacalia atriplicifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,banks,denvdasdasgi,ᏕᏅᏓᏍᏓᏍᎩ,n,noun,noun,Viola pedata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,banks,"dgidgi, tsitsi, tgitgi tsunvsdi yusdi","dᎩdᎩ, ᏥᏥ, tᎩtᎩ ᏧᏅᏍᏗ ᏳᏍᏗ",n,noun,noun,Cirisium altissimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,banks,digayasugi,ᏗᎦᏯᏑᎩ,n,noun,noun,Collinsonia canadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,banks,"dihiyesadigi, diyetsodisgi","ᏗᎯᏰᏌᏗᎩ, ᏗᏰᏦᏗᏍᎩ",n,noun,noun,Campanula divaricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,banks,"dinadaskadesgi, kanesi, anvdasquadesgi","ᏗᎾᏓᏍᎧᏕᏍᎩ, ᎧᏁᏏ, ᎠᏅᏓᏍᏆᏕᏍᎩ",n,noun,noun,Viola rotundifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,banks,ditlasdegi sdequo,ᏗᏝᏍᏕᎩ ᏍᏕᏉ,n,noun,noun,Gerardia pedicularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,banks,"doyiwoyi, ditlasdegi isdequo","ᏙᏱᏬᏱ, ᏗᏝᏍᏕᎩ ᎢᏍᏕᏉ",n,noun,noun,Gerardia flava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,banks,"dusuga tsunvstiya, dusu tsunvsdi, dusu ugo","ᏚᏑᎦ ᏧᏅᏍᏘᏯ, ᏚᏑ ᏧᏅᏍᏗ, ᏚᏑ ᎤᎪ",n,noun,noun,Kalmia latifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,banks,"dusuga tsunvtana, dusu tsunvtana","ᏚᏑᎦ ᏧᏅᏔᎾ, ᏚᏑ ᏧᏅᏔᎾ",n,noun,noun,Rhododendron maximum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,banks,"duya iyusdi, unagaladelo tsusdi","ᏚᏯ ᎢᏳᏍᏗ, ᎤᎾᎦᎳᏕᎶ ᏧᏍᏗ",n,noun,noun,Clitoria mariana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,banks,duya yusdi,ᏚᏯ ᏳᏍᏗ,n,noun,noun,Amphicarpa bracteata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,banks,"elisgala, eliskala","ᎡᎵᏍᎦᎳ, ᎡᎵᏍᎧᎳ",n,noun,noun,New Jersey tea.; Ceanothus americanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,banks,"euso, ewasuhi","ᎡᎤᏐ, ᎡᏩᏑᎯ",n,noun,noun,Leucothoe editorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,banks,"gadatsuli gadusa ehi, goligaisgi","ᎦᏓᏧᎵ ᎦᏚᏌ ᎡᎯ, ᎪᎵᎦᎢᏍᎩ",n,noun,noun,Eupatorium perfoliatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,banks,gadatsusli,ᎦᏓᏧᏍᎵ,n,noun,noun,Phlox maculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,banks,gadoyidi ustiga,ᎦᏙᏱᏗ ᎤᏍᏘᎦ,n,noun,noun,Polymnia uvedalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,banks,"galuna, galuhna","ᎦᎷᎾ, ᎦᎷᎿ",n,noun,noun,Cucurbita pepo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,banks,ganagida,ᎦᎾᎩᏓ,n,noun,noun,Cassia fasciculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,banks,"ganaquatlisgi, ganiquatlisgi, nigoidoitsei","ᎦᎾᏆᏟᏍᎩ, ᎦᏂᏆᏟᏍᎩ, ᏂᎪᎢᏙᎢᏤᎢ",n,noun,noun,Veronica officinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,banks,"ganelida, ganeleda","ᎦᏁᎵᏓ, ᎦᏁᎴᏓ",n,noun,noun,Angelica venenosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,banks,ganelido,ᎦᏁᎵᏙ,n,noun,noun,Zizia aurea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,banks,ganiliquatlisgi utana,ᎦᏂᎵᏆᏟᏍᎩ ᎤᏔᎾ,n,noun,noun,Scutellaria lateriflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,banks,"ganiqualasgi ayatali, distayi","ᎦᏂᏆᎳᏍᎩ ᎠᏯᏔᎵ, ᏗᏍᏔᏱ",n,noun,noun,Ascyrum hypericoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,banks,ganiquilisgi,ᎦᏂᏈᎵᏍᎩ,n,noun,noun,Stylosanthes biflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,banks,ganiquilisgi,ᎦᏂᏈᎵᏍᎩ,n,noun,noun,Euphorbia spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,banks,"ganiquilisgi, inadu watsita, utsanvdi uwasitana, utsanagoda","ᎦᏂᏈᎵᏍᎩ, ᎢᎾᏚ ᏩᏥᏔ, ᎤᏣᏅᏗ ᎤᏩᏏᏔᎾ, ᎤᏣᎾᎪᏓ",n,noun,noun,Prunella vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,banks,"ganiquilisgi, quanvdislogati sagonige atsilosgi, sana","ᎦᏂᏈᎵᏍᎩ, ᏆᏅᏗᏍᎶᎦᏘ ᏌᎪᏂᎨ ᎠᏥᎶᏍᎩ, ᏌᎾ",n,noun,noun,Vernonia noverboracensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,banks,gausagi,ᎦᎤᏌᎩ,n,noun,noun,Satureja hortensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,banks,gegowedowido,ᎨᎪᏪᏙᏫᏙ,n,noun,noun,Helianthemum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,banks,"giga tsuya, giga tsuyai, daloni","ᎩᎦ ᏧᏯ, ᎩᎦ ᏧᏯᎢ, ᏓᎶᏂ",n,noun,noun,Lyscimachia quadrifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,banks,"giga tsuyai, ganiquatlisgi","ᎩᎦ ᏧᏯᎢ, ᎦᏂᏆᏟᏍᎩ",n,noun,noun,Hypericum perforatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,banks,gigage atsilosgi,ᎩᎦᎨ ᎠᏥᎶᏍᎩ,n,noun,noun,Spigelia marilandica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,banks,"gigage atsilosgi, tsoliyusdi gigage atsilosgi, tsagagada tsunvtana, tsoliyusdi ameuduhi","ᎩᎦᎨ ᎠᏥᎶᏍᎩ, ᏦᎵᏳᏍᏗ ᎩᎦᎨ ᎠᏥᎶᏍᎩ, ᏣᎦᎦᏓ ᏧᏅᏔᎾ, ᏦᎵᏳᏍᏗ ᎠᎺᎤᏚᎯ",n,noun,noun,Lobelia cardinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,banks,gosadi uigiwa dilihisdodi,ᎪᏌᏗ ᎤᎢᎩᏩ ᏗᎵᎯᏍᏙᏗ,n,noun,noun,Artemisia absinthium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,banks,"gosaga, gostaga","ᎪᏌᎦ, ᎪᏍᏔᎦ",n,noun,noun,Sambucus canadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,banks,gosagi,ᎪᏌᎩ,n,noun,noun,Monarda fistulosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,banks,"gosagi, gigage atsilusgi","ᎪᏌᎩ, ᎩᎦᎨ ᎠᏥᎷᏍᎩ",n,noun,noun,Monarda didyma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,banks,"gosagi, gvfsagi","ᎪᏌᎩ, ᎬfᏌᎩ",n,noun,noun,Pycanthemum spp. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,banks,"gosagi, wesda unigesdi","ᎪᏌᎩ, ᏪᏍᏓ ᎤᏂᎨᏍᏗ",n,noun,noun,Mentha spicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,banks,"gosduda, gosdugu","ᎪᏍᏚᏓ, ᎪᏍᏚᎫ",n,noun,noun,Antennaria plantaginifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
