error,base_id,source,engl,phon,syll,text
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),b0cefb0b2dba66b7,cn-app-dictionary.csv,,su:de:tiyv̋:da iyú:da̋:li ije̋: dagwalé:la *à:danv:sgó:’i*,ᏑᏕᏘᏴᏓ ᎢᏳᏓᎵ ᎢᏤ ᏓᏆᎴᎳ ᎠᏓᏅᏍᎪᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),b0cefb0b2dba66b7,cn-app-dictionary.csv,,su:de:tiyv̋:da iyú:da̋:li ije̋: dagwalé:la *à:danv:sgó:’i*,ᏑᏕᏘᏴᏓ ᎢᏳᏓᎵ ᎢᏤ ᏓᏆᎴᎳ ᎠᏓᏅᏍᎪᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),b0cefb0b2dba66b7,cn-app-dictionary.csv,,su:de:tiyv̋:da iyú:da̋:li ije̋: dagwalé:la *à:danv:sgó:’i*,ᏑᏕᏘᏴᏓ ᎢᏳᏓᎵ ᎢᏤ ᏓᏆᎴᎳ ᎠᏓᏅᏍᎪᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),b0cefb0b2dba66b7,cn-app-dictionary.csv,,su:de:tiyv̋:da iyú:da̋:li ije̋: dagwalé:la *à:danv:sgó:’i*,ᏑᏕᏘᏴᏓ ᎢᏳᏓᎵ ᎢᏤ ᏓᏆᎴᎳ ᎠᏓᏅᏍᎪᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),b0cefb0b2dba66b7,cn-app-dictionary.csv,,su:de:tiyv̋:da iyú:da̋:li ije̋: dagwalé:la *à:danv:sgó:’i*,ᏑᏕᏘᏴᏓ ᎢᏳᏓᎵ ᎢᏤ ᏓᏆᎴᎳ ᎠᏓᏅᏍᎪᎢ.,
Odd number of asterisks in Phonetic,c5f93ecc1ab5f18f,cn-app-dictionary.csv,,,,yijadu:lás *ade:lá*di:hdi̋:* dijalv:hwísdà:nhdi̋:’i
Odd number of asterisks in Phonetic,c5f93ecc1ab5f18f,cn-app-dictionary.csv,,,,yijadu:lás *ade:lá*di:hdi̋:* dijalv:hwísdà:nhdi̋:’i
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),525c6261d1c113fb,cn-app-dictionary.csv,,ji:sdú gv:wasvhné:lv́ *gǒ:sdagî:sd*,ᏥᏍᏚ ᎬᏩᏒᏁᎸ ᎪᏍᏓᎩᏍᏗ.,
Zero asterisks in sentence,d40f7dee0b8113fd,cn-app-dictionary.csv,This boy is a Creek Indian.,hi’a achű:ja agű:sa ayv:wiya̋:’i,ᎯᎠ ᎠᏧᏣ ᎠᎫᏌ ᎠᏴᏫᏯᎢ.,
Zero asterisks in sentence,d40f7dee0b8113fd,cn-app-dictionary.csv,This boy is a Creek Indian.,hi’a achű:ja agű:sa ayv:wiya̋:’i,ᎯᎠ ᎠᏧᏣ ᎠᎫᏌ ᎠᏴᏫᏯᎢ.,
Zero asterisks in sentence,871ab4fd59562ff3,cn-app-dictionary.csv,Are you afraid of thunder?,hisgâ:hó:’ís ahyv:dagwalò:sgi,ᎯᏍᎦᎰᎢᏍ ᎠᏴᏓᏆᎶᏍᎩ?,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),5326dd518b1633b2,cn-app-dictionary.csv,,amǎ:yí e̋:hi *ajǐ:la* ì:gi:hyálù:ga,ᎠᎹᏱ ᎡᎯ ᎠᏥᎳ ᎢᎩᏯᎷᎦ.,
Odd number of asterisks in English,2dfc49747319c444,cn-app-dictionary.csv,,,,*He goes down a long *hill* when he goes after water.
Zero asterisks in sentence,4c2649210ec5c1d6,cn-app-dictionary.csv,He wanted to turn back before he got there.,winú:luhjv̋:nagwu u:ktahv:sdi̋: ù:du:lv:hv̌:’i,ᏫᏄᎷᏨᎾᏊ ᎤᎦᏔᎲᏍᏗ ᎤᏚᎸᎲᎢ.,
Zero asterisks in sentence,4c2649210ec5c1d6,cn-app-dictionary.csv,He wanted to turn back before he got there.,winú:luhjv̋:nagwu u:ktahv:sdi̋: ù:du:lv:hv̌:’i,ᏫᏄᎷᏨᎾᏊ ᎤᎦᏔᎲᏍᏗ ᎤᏚᎸᎲᎢ.,
Zero asterisks in sentence,4c2649210ec5c1d6,cn-app-dictionary.csv,He wanted to turn back before he got there.,winú:luhjv̋:nagwu u:ktahv:sdi̋: ù:du:lv:hv̌:’i,ᏫᏄᎷᏨᎾᏊ ᎤᎦᏔᎲᏍᏗ ᎤᏚᎸᎲᎢ.,
Zero asterisks in sentence,4c2649210ec5c1d6,cn-app-dictionary.csv,He wanted to turn back before he got there.,winú:luhjv̋:nagwu u:ktahv:sdi̋: ù:du:lv:hv̌:’i,ᏫᏄᎷᏨᎾᏊ ᎤᎦᏔᎲᏍᏗ ᎤᏚᎸᎲᎢ.,
Zero asterisks in sentence,4c2649210ec5c1d6,cn-app-dictionary.csv,He wanted to turn back before he got there.,winú:luhjv̋:nagwu u:ktahv:sdi̋: ù:du:lv:hv̌:’i,ᏫᏄᎷᏨᎾᏊ ᎤᎦᏔᎲᏍᏗ ᎤᏚᎸᎲᎢ.,
Zero asterisks in sentence,4c2649210ec5c1d6,cn-app-dictionary.csv,He wanted to turn back before he got there.,winú:luhjv̋:nagwu u:ktahv:sdi̋: ù:du:lv:hv̌:’i,ᏫᏄᎷᏨᎾᏊ ᎤᎦᏔᎲᏍᏗ ᎤᏚᎸᎲᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),f781e3f003207900,cn-app-dictionary.csv,,se:ga:jv̋: *ù:ktv́:le:sv́* usdi̋ u:dlanv́:dv̋:’i,ᏎᎦᏨ ᎤᎦᏛᎴᏒ ᎤᏍᏗ ᎤᏜᏅᏛᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),f781e3f003207900,cn-app-dictionary.csv,,se:ga:jv̋: *ù:ktv́:le:sv́* usdi̋ u:dlanv́:dv̋:’i,ᏎᎦᏨ ᎤᎦᏛᎴᏒ ᎤᏍᏗ ᎤᏜᏅᏛᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),f781e3f003207900,cn-app-dictionary.csv,,se:ga:jv̋: *ù:ktv́:le:sv́* usdi̋ u:dlanv́:dv̋:’i,ᏎᎦᏨ ᎤᎦᏛᎴᏒ ᎤᏍᏗ ᎤᏜᏅᏛᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),f781e3f003207900,cn-app-dictionary.csv,,se:ga:jv̋: *ù:ktv́:le:sv́* usdi̋ u:dlanv́:dv̋:’i,ᏎᎦᏨ ᎤᎦᏛᎴᏒ ᎤᏍᏗ ᎤᏜᏅᏛᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),f781e3f003207900,cn-app-dictionary.csv,,se:ga:jv̋: *ù:ktv́:le:sv́* usdi̋ u:dlanv́:dv̋:’i,ᏎᎦᏨ ᎤᎦᏛᎴᏒ ᎤᏍᏗ ᎤᏜᏅᏛᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),f781e3f003207900,cn-app-dictionary.csv,,se:ga:jv̋: *ù:ktv́:le:sv́* usdi̋ u:dlanv́:dv̋:’i,ᏎᎦᏨ ᎤᎦᏛᎴᏒ ᎤᏍᏗ ᎤᏜᏅᏛᎢ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),84913ef717d5436f,cn-app-dictionary.csv,,áhani aye̋:hli *hale:hv̀:ga*,ᎠᎭᏂ ᎠᏰᏟ ᎭᎴᎲᎦ.,
Zero asterisks in sentence,89632264021f76df,cn-app-dictionary.csv,She has a three hundred dollar ring on her finger.,jo’itsgwa ade:lv̋: ju:gv̋:walhdi alye:su:sto ù:lǐ:yê:su:sga,ᏦᎢᏥᏆ ᎠᏕᎸ ᏧᎬᏩᏟᏗ ᎠᎵᏰᏑᏍᏙ ᎤᎵᏰᏑᏍᏘᎦ.,
Zero asterisks in sentence,89632264021f76df,cn-app-dictionary.csv,She has a three hundred dollar ring on her finger.,jo’itsgwa ade:lv̋: ju:gv̋:walhdi alye:su:sto ù:lǐ:yê:su:sga,ᏦᎢᏥᏆ ᎠᏕᎸ ᏧᎬᏩᏟᏗ ᎠᎵᏰᏑᏍᏙ ᎤᎵᏰᏑᏍᏘᎦ.,
Zero asterisks in sentence,89632264021f76df,cn-app-dictionary.csv,She has a three hundred dollar ring on her finger.,jo’itsgwa ade:lv̋: ju:gv̋:walhdi alye:su:sto ù:lǐ:yê:su:sga,ᏦᎢᏥᏆ ᎠᏕᎸ ᏧᎬᏩᏟᏗ ᎠᎵᏰᏑᏍᏙ ᎤᎵᏰᏑᏍᏘᎦ.,
Zero asterisks in sentence,89632264021f76df,cn-app-dictionary.csv,She has a three hundred dollar ring on her finger.,jo’itsgwa ade:lv̋: ju:gv̋:walhdi alye:su:sto ù:lǐ:yê:su:sga,ᏦᎢᏥᏆ ᎠᏕᎸ ᏧᎬᏩᏟᏗ ᎠᎵᏰᏑᏍᏙ ᎤᎵᏰᏑᏍᏘᎦ.,
Zero asterisks in sentence,89632264021f76df,cn-app-dictionary.csv,She has a three hundred dollar ring on her finger.,jo’itsgwa ade:lv̋: ju:gv̋:walhdi alye:su:sto ù:lǐ:yê:su:sga,ᏦᎢᏥᏆ ᎠᏕᎸ ᏧᎬᏩᏟᏗ ᎠᎵᏰᏑᏍᏙ ᎤᎵᏰᏑᏍᏘᎦ.,
Zero asterisks in sentence,89632264021f76df,cn-app-dictionary.csv,She has a three hundred dollar ring on her finger.,jo’itsgwa ade:lv̋: ju:gv̋:walhdi alye:su:sto ù:lǐ:yê:su:sga,ᏦᎢᏥᏆ ᎠᏕᎸ ᏧᎬᏩᏟᏗ ᎠᎵᏰᏑᏍᏙ ᎤᎵᏰᏑᏍᏘᎦ.,
