Index,Verb Number,Person,Tense,Cherokee,English,Tone,Kirk Verb (Cherokee),Kirk Verb (English),CED (Cherokee),CED (English),CED Sentence (Cherokee),CED Sentence (English),CED Index,CED Link,screenshot name,tags,Is_Dupe,Dupes,weird things
1,1,First Person Singular,Present Tense,jiwoniha,I am speaking,ga.²wo³ni.²ha,Gawoniha,Speaking,gawoniha,he's speaking,"Tsgwisdi *gawoniha*, asehnv hla gohusdi yadiha.","*He's* *talking* a lot, but he's not saying anything.",1202,https://cherokeedictionary.net/share/73206,woni_A.PNG,first5 first25 P_1s PresentTense hasCED,,,
2,1,First Person Singular,Habitual Tense,jiwonisgo'i,I speak (habitually),ga.²wo³ni.²ha,Gawoniha,Speaking,gawoniha,he's speaking,"Tsgwisdi *gawoniha*, asehnv hla gohusdi yadiha.","*He's* *talking* a lot, but he's not saying anything.",1202,https://cherokeedictionary.net/share/73206,woni_A.PNG,first5 first25 P_1s HabitualTense hasCED,,,
3,1,First Person Singular,Completive Past,agiwonisv'i,I spoke,ga.²wo³ni.²ha,Gawoniha,Speaking,gawoniha,he's speaking,"Tsgwisdi *gawoniha*, asehnv hla gohusdi yadiha.","*He's* *talking* a lot, but he's not saying anything.",1202,https://cherokeedictionary.net/share/73206,woni_A.PNG,first5 first25 P_1s CompletivePast hasCED accelerated_2,,,
4,1,First Person Singular,Immediate,jiwonihi,I just spoke,ga.²wo³ni.²ha,Gawoniha,Speaking,gawoniha,he's speaking,"Tsgwisdi *gawoniha*, asehnv hla gohusdi yadiha.","*He's* *talking* a lot, but he's not saying anything.",1202,https://cherokeedictionary.net/share/73206,woni_A.PNG,first5 first25 P_1s Immediate hasCED,,,
5,1,First Person Singular,Infinitive,agiwonihisdi,For me to speak,ga.²wo³ni.²ha,Gawoniha,Speaking,gawoniha,he's speaking,"Tsgwisdi *gawoniha*, asehnv hla gohusdi yadiha.","*He's* *talking* a lot, but he's not saying anything.",1202,https://cherokeedictionary.net/share/73206,woni_A.PNG,first5 first25 P_1s Infinitive hasCED,,,
6,1,Second Person Singular,Present Tense,hiwoniha,You are speaking,ga.²wo³ni.²ha,Gawoniha,Speaking,gawoniha,he's speaking,"Tsgwisdi *gawoniha*, asehnv hla gohusdi yadiha.","*He's* *talking* a lot, but he's not saying anything.",1202,https://cherokeedictionary.net/share/73206,woni_A.PNG,first5 first25 P_2s PresentTense hasCED,,,
7,1,Second Person Singular,Habitual Tense,hiwonisgo'i,You speak (habitually),ga.²wo³ni.²ha,Gawoniha,Speaking,gawoniha,he's speaking,"Tsgwisdi *gawoniha*, asehnv hla gohusdi yadiha.","*He's* *talking* a lot, but he's not saying anything.",1202,https://cherokeedictionary.net/share/73206,woni_A.PNG,first5 first25 P_2s HabitualTense hasCED,,,
8,1,Second Person Singular,Completive Past,jawonisv'i,You spoke,ga.²wo³ni.²ha,Gawoniha,Speaking,gawoniha,he's speaking,"Tsgwisdi *gawoniha*, asehnv hla gohusdi yadiha.","*He's* *talking* a lot, but he's not saying anything.",1202,https://cherokeedictionary.net/share/73206,woni_A.PNG,first5 first25 P_2s CompletivePast hasCED,,,
9,1,Second Person Singular,Immediate,hiwonihi,You just spoke,ga.²wo³ni.²ha,Gawoniha,Speaking,gawoniha,he's speaking,"Tsgwisdi *gawoniha*, asehnv hla gohusdi yadiha.","*He's* *talking* a lot, but he's not saying anything.",1202,https://cherokeedictionary.net/share/73206,woni_A.PNG,first5 first25 P_2s Immediate hasCED accelerated_2,,,
10,1,Second Person Singular,Infinitive,jawonihisdi,For you to speak,ga.²wo³ni.²ha,Gawoniha,Speaking,gawoniha,he's speaking,"Tsgwisdi *gawoniha*, asehnv hla gohusdi yadiha.","*He's* *talking* a lot, but he's not saying anything.",1202,https://cherokeedictionary.net/share/73206,woni_A.PNG,first5 first25 P_2s Infinitive hasCED,,,
