Index,Verb Number,Set,,Tense,Tense?,Subject,Object,Verb,Dupes,Cherokee,English,Syllabary,Stem,Stem Number,Is_Dupe,CED Entry,CED English,CED Sentence (Cherokee),CED Sentence (Syllabary),CED Sentence (English),CED Index,CED Link,Full Line,Tags,Notes
1873,20,A,AC,Present Tense,,First Singular,Second Singular,To See,,gvgowtiha,I see you (singular),ᎬᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“I see you (singular)” gvgowtiha ᎬᎪᏩᏘᎭ,PresentTense transitive P_1s VERB_C::agowhtiha VERB_E::To_See,
1874,20,A,AC,Present Tense,,First Singular,Third Singular (animate),To See,I see him/her@I see it,tsigowtiha,I see him/her,ᏥᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“I see him/her” tsigowtiha ᏥᎪᏩᏘᎭ,PresentTense transitive P_1s VERB_C::agowhtiha VERB_E::To_See,
1875,20,A,AC,Present Tense,,First Singular,Third Singular (inanimate),To See,I see him/her@I see it,tsigowtiha,I see it,ᏥᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“I see it” tsigowtiha ᏥᎪᏩᏘᎭ,PresentTense transitive P_1s VERB_C::agowhtiha VERB_E::To_See,
1876,20,A,AC,Present Tense,,First Singular,Second Dual,To See,I see you (two)@We (another and I) see you (singular),sdvgowtiha,I see you (two),ᏍᏛᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“I see you (two)” sdvgowtiha ᏍᏛᎪᏩᏘᎭ,PresentTense transitive P_1s VERB_C::agowhtiha VERB_E::To_See,
1877,20,A,AC,Present Tense,,First Singular,Second Plural,To See,I see you (more than two)@We (another and I) see you (more than two)@We (others and I) see you (singular),itsvgowtiha,I see you (more than two),ᎢᏨᎪᏩᏘᎭ,-gowtih-a,I,3,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“I see you (more than two)” itsvgowtiha ᎢᏨᎪᏩᏘᎭ,PresentTense transitive P_1s VERB_C::agowhtiha VERB_E::To_See,
1878,20,A,AC,Present Tense,,First Singular,Third Plural (animate),To See,,gatsigowtiha,I see them,ᎦᏥᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“I see them” gatsigowtiha ᎦᏥᎪᏩᏘᎭ,PresentTense transitive P_1s VERB_C::agowhtiha VERB_E::To_See,
1879,20,A,AC,Present Tense,,First Singular,Third Plural (inanimate),To See,I see those things@You (more than two) see those things,detsigowtiha,I see those things,ᏕᏥᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“I see those things” detsigowtiha ᏕᏥᎪᏩᏘᎭ,PresentTense transitive P_1s VERB_C::agowhtiha VERB_E::To_See,
1880,20,A,AC,Present Tense,,Second Singular,First Singular,To See,,sgowtiha,You (singular) see me,ᏍᎪᏩᏘᎭ,-gowtih-a,I,,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (singular) see me” sgowtiha ᏍᎪᏩᏘᎭ (short vowel “sgi’ow-”),PresentTense transitive P_2s VERB_C::agowhtiha VERB_E::To_See,(short vowel “sgi’ow-”)
1881,20,A,AC,Present Tense,,Second Singular,Third Singular (animate),To See,You (singular) see him/her@You (singular) see it,higowtiha,You (singular) see him/her,ᎯᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (singular) see him/her” higowtiha ᎯᎪᏩᏘᎭ,PresentTense transitive P_2s VERB_C::agowhtiha VERB_E::To_See,
1882,20,A,AC,Present Tense,,Second Singular,Third Singular (inanimate),To See,You (singular) see him/her@You (singular) see it,higowtiha,You (singular) see it,ᎯᎪᏩᏘᎭ,-gowtih-a,I,2,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (singular) see it” higowtiha ᎯᎪᏩᏘᎭ,PresentTense transitive P_2s VERB_C::agowhtiha VERB_E::To_See,
1883,20,A,AC,Present Tense,,Second Singular,First Dual Exclusive,To See,You (singular) see someone else and me@You two see me@You two see someone else and me,sginigowtiha,You (singular) see someone else and me,ᏍᎩᏂᎪᏩᏘᎭ,-gowtih-a,I,3,agowhtiha,"he sees him, it",Hlas *hyigowhti*?,ᏝᏍ *ᏱᎪᏩᏘ*?,Don't *you see it*?,347,https://cherokeedictionary.net/share/72329,“You (singular) see someone else and me” sginigowtiha ᏍᎩᏂᎪᏩᏘᎭ,PresentTense transitive P_2s VERB_C::agowhtiha VERB_E::To_See,
